Country Name,"Country Code","Series Name","Series Code","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]"
Argentina,"ARG","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","2.30416168727081","-4.6248195357351","-1.94903855214554","-5.65649611289868","-14.1312267859548","9.06939520193615","0.0483644365547775","7.55363141146867","16.539048630424","8.64302626864881","3.13421798279583","-7.43445605089963","9.40272752464554","5.31950619137159","-1.61558732534803","1.51928849710229","-3.46032014722822","1.82302544834103","-3.46458946557155","1.33243377709692","-4.66128429014255","-3.27282726978709","-9.56855587420209","10.4055806091478","4.09479721435208"
Australia,"AUS","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","3.73734359659248","2.94986959590189","3.7862586333268","1.15764784170031","3.21748490204658","2.10826604819651","4.49579061213745","2.64815375114733","3.15934901361111","2.72968380795764","3.08007783826336","1.87673600528899","-0.593585468786216","4.86950041610019","3.26381432127485","-0.703682154513928","0.173007875800906","-0.981669599335618","-1.25183160583123","3.11777350472408","1.36476670926106","1.73939893212311","0.0462667090921514","5.47025686133233","2.63064053959251"
Brazil,"BRA","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","-1.54527901261811","-1.93622043240326","3.20924488188479","-0.28851480817238","1.63824424899239","0.121133733022134","4.77050290016403","2.12342610632186","3.21967165226862","5.36151246507674","3.70971643461377","-0.838130944405933","5.53681083548156","3.53961303120209","1.0949072731439","3.28311390876659","-0.828440375078671","-4.35467921236044","-4.29096654168659","0.772417151045943","0.0398446372602734","0.547064909059316","-3.33092424291014","3.23334416319877","2.4865611041956"
China,"CHN","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","6.38394322409468","6.97798866452972","7.72349749217547","7.31518745082941","8.78218302165889","9.73444215417811","9.8022473165813","10.2735018392266","12.6379172343529","14.0904329921832","9.51028428775049","8.02117143870153","9.81062542695892","8.40453229833457","7.89266546533467","6.43296811019769","7.75474147531645","5.77962846757391","6.21566085155536","6.6940981039842","5.92535766797661","5.74656963618196","1.46990601577085","8.46304999355878","2.61505949304264"
France,"FRA","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","3.56201241501523","3.60838652776359","2.05605159338427","1.51138779531598","0.0474559673507571","0.331784697788763","1.88106303368967","0.861957016967779","1.59586786671322","2.11957864554786","-0.311712991410502","-2.54859204941673","1.06456774428634","1.29286961361987","-0.727047267200646","0.472970047685024","0.812978708171457","1.74867059325057","1.10640149483039","1.71871852824334","1.183091084284","1.6095274578078","-8.71857581768137","7.50749017683599","0.283717414006261"
Germany,"DEU","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","2.13536994777751","1.87162733258452","1.64815839431336","1.36545410413058","-0.223686126545957","-0.21601190711705","2.83755727532751","0.442560045129852","4.19028026173696","2.99417525758116","-0.0220964945123256","-2.89659629581112","3.28796201823138","5.37033501069931","0.0308993166012357","0.381080722153953","1.89673138033962","1.81738679127783","2.20149985911293","1.84844036948164","1.2415880257568","1.42967824196612","-4.10597265283182","2.9574619864562","-1.09914967053638"
India,"IND","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","4.19853440358106","6.83454139074308","1.69617662084767","3.08244721992563","2.09369054027484","6.00798514528924","6.13121922194412","6.18305333525508","6.3598257254046","6.47385800412353","1.45710620733115","6.36741633969547","6.4833796332715","4.0256756327358","3.74929342570749","4.93797566597907","6.15477471764072","6.71854757606309","6.99406967788845","5.63750427914968","5.32419413854556","2.93059563463642","-7.1166090435467","7.45740486691129","6.53561040291272"
Indonesia,"IDN","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","","","","","","","","","","","","","","4.71402236230534","4.712341583813","4.11936638679906","3.44737261780521","3.77931305549708","4.05988312253353","4.01785188326403","4.34145598723961","4.00506080459873","-2.54326556306252","2.90808997722878","4.45870144098373"
Italy,"ITA","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","2.27768932698042","1.92747136620027","2.18906352387177","2.357905213458","0.318160202360346","-0.150619832592795","0.847986736859283","-0.00599558553348345","0.91935938850088","0.977821978350036","-3.24252879355926","-3.56357593233908","0.171675932093549","-0.254683948066059","-3.48920513870848","-2.60925370656626","-0.0692313037065873","0.775990164398934","3.313860551969","1.6965570824496","1.52591360211274","1.59054364057907","-7.26778646356634","7.46949797503669","0.448937751443836"
Japan,"JPN","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","-1.25743986086452","-0.675921731632457","2.24208418828628","0.283273545854598","-0.33441764201919","1.11541967063511","1.99309470710412","1.32363375393705","0.817650578746381","1.19648248591086","-3.21777566559173","-4.34664776534271","3.42858162289043","-0.739847656596936","1.1962853231833","2.40814581633961","0.51530853011657","3.43707077450009","1.24101740137394","1.37648443564682","0.131664545764835","-0.033242936059338","-3.40489679215619","2.51315702646002",""
